"age","income","personal_loan"
25,"49",0
45,"34",0
39,"11",0
35,"100",0
35,"45",0
37,"29",0
53,"72",0
50,"22",0
35,"81",0
34,"180",1
65,"105",0
29,"45",0
48,"114",0
59,"40",0
67,"112",0
60,"22",0
38,"130",1
42,"81",0
46,"193",1
55,"21",0
56,"25",0
57,"63",0
29,"62",0
44,"43",0
36,"152",0
43,"29",0
40,"83",0
46,"158",0
56,"48",0
38,"119",1
59,"35",0
40,"29",0
53,"41",0
30,"18",0
31,"50",0
48,"81",0
59,"121",0
51,"71",0
42,"141",1
38,"80",0
57,"84",0
34,"60",0
32,"132",1
39,"45",0
46,"104",0
57,"52",0
39,"43",0
37,"194",1
56,"81",0
40,"49",0
32,"8",0
61,"131",0
30,"72",0
50,"190",1
29,"44",0
41,"139",0
55,"29",0
56,"131",1
28,"93",0
31,"188",0
49,"39",0
47,"125",0
42,"22",0
42,"32",0
47,"105",0
59,"131",0
62,"105",0
53,"45",0
47,"60",0
53,"20",0
42,"115",0
53,"69",0
44,"130",0
41,"85",0
28,"135",0
31,"135",1
58,"12",0
46,"29",0
54,"133",1
50,"19",0
60,"41",0
47,"40",0
41,"82",0
33,"50",0
46,"18",0
27,"109",0
40,"42",0
48,"78",0
65,"51",0
25,"113",0
55,"118",1
35,"29",0
43,"34",0
60,"64",0
65,"121",0
38,"48",0
41,"80",0
54,"161",0
49,"94",0
66,"15",0
48,"74",0
61,"30",0
53,"44",0
43,"22",0
56,"38",0
24,"35",0
43,"69",0
42,"43",0
33,"32",0
43,"49",0
41,"9",0
62,"45",0
40,"82",0
58,"92",0
39,"39",0
65,"81",0
54,"35",0
58,"61",0
41,"73",0
32,"112",0
54,"12",0
52,"38",0
58,"73",0
37,"84",0
39,"78",0
60,"80",0
31,"115",0
34,"82",0
38,"74",0
41,"70",0
28,"81",0
58,"149",1
31,"51",0
30,"39",0
53,"98",0
58,"45",0
59,"49",0
49,"128",0
59,"42",0
59,"18",0
51,"31",0
35,"58",0
33,"48",0
25,"54",0
49,"70",0
59,"124",0
46,"84",0
50,"83",0
52,"163",0
48,"42",0
46,"118",0
26,"132",1
57,"24",0
60,"22",0
54,"58",0
24,"60",0
26,"15",0
41,"83",0
32,"79",0
61,"41",0
29,"134",1
61,"80",0
38,"52",0
28,"70",0
53,"92",0
27,"43",0
25,"21",0
33,"23",0
50,"13",0
27,"112",0
27,"138",0
52,"11",0
38,"171",0
58,"42",0
42,"168",1
45,"85",0
52,"44",0
29,"65",0
53,"24",0
62,"11",0
51,"38",0
36,"10",0
24,"135",0
29,"148",1
52,"63",0
39,"115",0
48,"45",0
46,"159",1
64,"169",0
55,"112",0
60,"93",0
51,"29",0
50,"85",0
48,"21",0
53,"144",0
34,"13",0
48,"165",0
55,"9",0
27,"59",0
36,"158",1
32,"29",0
35,"20",0
30,"68",0
58,"65",0
56,"61",0
38,"91",0
49,"31",0
34,"71",0
40,"73",0
64,"172",1
51,"20",0
44,"55",0
46,"69",0
57,"155",0
54,"94",0
38,"92",0
27,"125",0
39,"74",0
44,"72",0
56,"61",0
32,"25",0
45,"83",0
26,"104",0
55,"41",0
52,"58",0
39,"93",0
24,"39",0
47,"148",0
47,"53",0
48,"71",0
47,"92",0
35,"61",0
46,"38",0
62,"58",0
26,"80",0
38,"71",0
43,"89",0
62,"83",0
57,"28",0
28,"52",0
51,"70",0
48,"71",0
41,"75",0
